nicu,name,addr,city_state_zip,level,beds,type,contact
493,Hurley Medical Center,1 Hurley Plaza,"Flint, MI 48503",III,44,Private Practice,
494,Huron Valley-Sinai Hospital,1 William Carls Dr,"Commerce Charter Twp, MI 48382",II,6,Academic Program,
495,Hutzel Women’s Hospital,3990 John R St,"Detroit, MI 48201",III,36,Academic Program,"Girija Natarajan, MD"
496,Ingalls Memorial Hospital,1 Ingalls Dr.,"Harvey, IL 60426",II,,Academic Program,
497,Inova Alexandria Hospital,4320 Seminary Rd,"Alexandria, VA 22304",III,16,Private Practice,"Lisa Goldberg, DO"
498,Inova Children’s Hospital,3300 Gallows Rd,"Falls Church, VA 22042",IV,108,Private Practice,"Alex Kline, MD"
499,Inova Fair Oaks Hospital,3600 Joseph Siewick Dr,"Fairfax, VA 22033",III,19,Private Practice,"Alan Silk, MD"
500,Inova Loudoun Hospital,44045 Riverside Pkwy,"Leesburg, VA 20176",III,12,Private Practice,"David Goodwin, MD"
501,Inspira Medical Center Mullica Hill,"155 Bridgeton Pike,","Mullica Hill, NJ 08062",II,6,Employed Group,"Muhammad Anwar, MD"
502,Inspira Medical Center Vineland,"1505 W Sherman Ave,","Vineland, NJ 08360",III,20,Hospital Employed,"Muhammad Anwar, MD"
503,Inspira Medical Center Woodbury,"509 N Broad St,","Woodbury, NJ 08096",II,6,Employed Group,"Muhammad Anwar, MD"
504,Integris Baptist Medical Center,3300 Northwest Expy,"Oklahoma City, OK 73112",III,40,Private Practice,"Edward Co, MD"
505,Integris Bass Baptist Medical Center,600 S Monroe St.,"Enid, OK 73701",II,,Hospital Employed,
506,Integris Health Candian Valley Hospital,1201 Health Center Pkwy,"Yukon, OK 73099",II,,Private Practice,
507,Integris Health Edmond,4801 Integris Parkway,"Edmond, OK 73034",II,,Private Practice,
508,Intermountain Medical Center,5121 South Cottonwood St,"Murray, UT 84107",III,48,Academic Program,"Peter Grubb, MD"
509,IU Health Arnett Hospital,5165 McCarty Ln,"Lafayette, IN 47905",III,12,Academic Program,"Abhey Singhal, MD"
510,IU Health Bloomington,601 W 2nd St,"Bloomington, IN 47403",III,15,Private Practice,
511,IU Health Methodist Hospital,1701 N Senate Blvd,"Indianapolis, IN 46202",III,38,Academic Program,"Izlin Lien, MD"
512,Jackson Hospital,1725 Pine St,"Montgomery, AL 36106",II,,Private Practice,"Meyer Dworsky, MD"
513,Jackson Memorial Hospital,1611 NW 12th Avenue,"Miami, FL 33136",IV,126,Academic Program,"Shahnaz Duara, MD"
514,Jackson North Medical Center,160 Northwest 170th Street,"North Miami Beach, FL 33169",II,10,Academic Program,"Ilene R.S. Sosenko, MD"
515,Jackson-Madison County General Hospital,620 Skyline Drive,"Jackson, TN 38301",III,34,Academic Program,"Josefina Go, MD"
516,Jacobi Medical Center,"1400 Pelham Pkwy S,","Bronx, NY 10461",III,25,Academic Program,"Beth Ann Nagourney, MD"
517,Jamaica Hospital Medical Center,8900 Van Wyck Expy,"Richmond Hill, NY 11418",III,19,Academic Program,"Ajey Jain, MD"
518,Jeff Gordon Children’s Hospital,920 Church St N,"Concord, NC 28025",IV,20,Hospital Employed,"Robert Silver, MD"
519,Jefferson Hospital,565 Coal Valley Road,"Jefferson Hills, PA 15025",II,,Network Medical Group,
520,Jefferson Regional Medical Center,1600 W 40th Ave,"Pine Bluff, AR 71603",II,,,
521,Jefferson Washington Township Hospital,435 Hurffville - Cross Keys Rd,"Washington Township, Sewell, NJ 08080",III,14,Private Practice,
522,Jennie Stewart Medical Center,320 W 18th St,"Hopkinsville, KY 42240",III,6,Private Practice,"Alex Soriano, MD"
523,Jersey City Medical Center,"355 Grand St,","Jersey City, NJ 07302",III,41,Employed Group,"Ameth Aguirre, MD"
524,Jersey Shore University Medical Center,"1945 NJ-33,","Neptune City, NJ 07753",III,34,Academic Program,"Sergio Golombek, MD"
525,JFK Medical Center,5301 S Congress Ave,"Atlantis, FL 33462",II,,Private Practice,
526,JFK Medical Center,"65 James St,","Edison, NJ 08820",II,6,Private Practice,"Brittany Reid, MD"
527,Joe Dimaggio Children’s Hospital,1005 Joe DiMaggio Dr,"Hollywood, FL 33021",III,84,Private Practice,
528,John Peter Smith Hospital,1500 S Main St,"Fort Worth, TX 76104",III,45,Employed Group,
529,Johns Hopkins All Children’s Hospital,501 6th Ave S,"St. Petersburg, FL 33701",IV,97,Academic Program,"Sandra Brooks,  M.D."
530,Johns Hopkins Bayview Medical Center,"4940 Eastern Ave,","Baltimore, MD 21224",III,25,Academic Program,"Maureen Gilmore, MD"
531,Johns Hopkins Hospital,"1800 Orleans St,","Baltimore, MD 21287",IV,45,Academic Program,"Susan Aucott, MD"
532,Johnson City Medical Center,400 N State of Franklin Rd,"Johnson City, TN 37604",III,39,Academic Program,Dr. Dawn Tuell
533,Johnston Willis Hospital,1401 Johnston-Willis Dr,"Richmond, VA 23235",III,20,Private Practice,"Sandy Tarant, MD"
534,Jordan Valley Medical Center,3580 W 9000 South,"West Jordan, UT 84088",III,11,Private Practice,"Cameron Swinton, MD"
535,Jordan Valley West Campus,3460 Pioneer Pkwy,"West Valley City, UT 84120",II,4,Private Practice,"Cameron Swinton, MD"
536,Jupiter Medical Center,1210 S Old Dixie Hwy,"Jupiter, FL 33458",II,16,Private Practice,
537,Kadlec Regional Medical Center,888 Swift Blvd,"Richland, WA 99352",III,27,,"Eric Mosqueda, MD"
538,Kaiser  Modesto Medical Center,4601 Dale Rd,"Modesto, CA 95356",III,24,HMO Position,
539,Kaiser  Santa Clara Medical Center,700 Lawrence Expy,"Santa Clara, CA 95051",III,26,,
540,Kaiser Anaheim Medical Center,3440 E La Palma Ave,"Anaheim, CA 92806",III,14,,
541,Kaiser Baldwin Park Medical Center,1011 Baldwin Park Blvd,"Baldwin Park, CA 91706",III,,HMO Position,
542,Kaiser Downey Medical Center,9333 Imperial Hwy,"Downey, CA 90242",III,49,,
543,Kaiser Fontana Medical Center,9961 Sierra Ave,"Fontana, CA 92335",III,36,,
544,Kaiser Fresno Medical Center,7300 N Fresno St,"Fresno, CA 93720",II,,,
545,Kaiser Los Angeles Medical Center,4867 Sunset Blvd,"Los Angeles, CA 90027",III,12,,
546,Kaiser Oakland Medical Center,3600 Broadway,"Oakland, CA 94611",III,24,HMO Position,
547,Kaiser Orange County – Irvine Medical Center,6640 Alton Pkwy,"Irvine, CA 92618",II,6,HMO Position,
548,Kaiser Panorama City Medical Center,13651 Willard St,"Panorama City, CA 91402",III,24,,
549,Kaiser Permanente Sunnyside Hospital,10180 SE Sunnyside Rd,"Clackamas, OR 97015",III,20,HMO Position,"Hillary Nicholson , MD"
550,Kaiser Pernamante Moanahua Medical Center,3288 Moanalua Rd.,"Honolulu, HI 96819",III,24,HMO Position,"Lois Chiu, MD"
551,Kaiser Riverside Medical Center,10800 Magnolia Ave,"Riverside, CA 92505",III,15,HMO Position,
552,Kaiser Roseville Medical Center,1600 Eureka Rd,"Roseville, CA 95661",III,48,HMO Position,
553,Kaiser Saint Joseph Hospital,1375 E 19th Ave,"Denver, CO 80218",III,42,HMO Position,"Ann Ryan, MD"
554,Kaiser San Diego Medical Center,9455 Clairemont Mesa Blvd,"San Diego, CA 92123",III,30,,
555,Kaiser San Francisco Medical Center,2425 Geary Blvd,"San Francisco, CA 94115",III,22,HMO Position,
556,Kaiser San Leandro Medical Center,2500 Merced Street,"San Leandro, CA 94577",III,20,HMO Position,
557,Kaiser South Bay Medical Center,25825 S Vermont Ave,"Los Angeles, CA 90710",II,,,
558,Kaiser South Sacramento Medical Center,6600 Bruceville Rd,"Sacramento, CA 95823",II,,,
559,Kaiser Valley View Hospital,1906 Blake Avenue,"Glenwood Springs, CO 81601",II,5,,
560,Kaiser Walnut Creek Medical Center,1425 S Main St,"Walnut Creek, CA 94596",III,27,,
561,Kaiser West Los Angeles Medical Center,6041 Cadillac Ave,"Los Angeles, CA 90034",III,12,HMO Position,
562,Kaiser Woodland Hills Medical Center,5601 De Soto Ave,"Woodland Hills, CA 91367",II,18,,
563,Kalispell Regional Medical Center,310 Sunnyview Lane,Kalispell MT 59901,III,12,Hospital Employed,"Kristin Veneman, MD"
564,Kapi’olani Medical Center,1319 Punahou St.,"Honolulu, HI  96814",III,70,Academic Program,"Charles Neal, Jr., MD"
565,Kaweah Delta Medical Center,400 W Mineral King Ave,"Visalia, CA 93291",III,15,Network Medical Group,
566,Kendall Regional Medical Center,11750 SW 40th St,"Miami, FL 33175",III,13,Private Practice,"Bernardo Pimentel, MD"
567,Kent Hospital,455 Toll Gate Rd,"Warwick, RI 02886",II,12,Academic Program,"Nicholas Guerina, MD"
568,Kern Medical Center,1700 Mt Vernon Ave,"Bakersfield, CA 93306",II,28,,
569,Kettering Hospital,3535 Southern Blvd,"Dayton, OH 45429",III,50,Academic Program,"Jerod Rone, MD"
570,King’s Daughters Medical Center,2201 Lexington Ave,"Ashland, KY 41101",III,13,,
571,Kings County Hospital Center,451 Clarkson Ave,"Brooklyn, NY 11203",III,31,Academic Program,"Ivan L. Hand, MD"
572,Knapp Medical Center,1401 E 8th St,"Weslaco, TX 78596",II,,Private Practice,
573,Kootenai Medical Center,2003 Kootenai Health Way,"Coeur d'Alene, ID 83814",III,12,Hospital Employed,"Brook Lang, MD"
574,LAC + USC Medical Center,2051 Marengo St,"Los Angeles, CA 90033",III,40,Academic Program,"Rangasamy Ramanathan, MD"
575,Lafeyette General Medical Center,1214 Coolidge St,"Lafayette, LA 70503",III,31,,
576,Lake Area Medical Center,4200 Nelson Rd,"Lake Charles, LA 70605",III,22,Private Practice,"Juan Bossano, MD"
577,Lake Charles Memorial Hospital,1701 Oak Park Blvd,"Lake Charles, LA 70601",III,23,Private Practice,"Snehai Doshi, MD"
578,Lake Norma Regional Medical Center,171 Fairview Rd,"Mooresville, NC 28117",II,8,Hospital Employed,"Laura Reniker, MD"
579,Lakeland Regional Medical Center,1324 Lakeland Hills Blvd,"Lakeland, FL 33805",III,30,Private Practice,"Mark Preziosi, MD"
580,Lakeside Women’s Hospital,11200 N. Portland Ave,"Oklahoma City, OK 73120",II,,Private Practice,
581,Lakeview Hospital,630 Medical Dr,"Bountiful, UT 84010",II,5,Private Practice,"Shannon Jenkins, MD"
582,Lakeview Hospital,927 Churchill St,"Stillwater, MN 55082",II,,Hospital Employed,"Andrea Lampland, MD"
583,Lakeview Regional Medical Center,95 Judge Tanner Blvd,"Covington, LA 70433",III,11,Academic Program,"Jay Goldsmith, MD"
584,Lankenau Medical Center,100 E Lancaster Ave,"Wynnewood, PA 19096",III,21,Network Medical Group,
585,Laredo Medical Center,1700 East Saunders,"Laredo, TX 78041",III,20,,
586,Las Palmas Medical Center,1801 N Oregon St,"El Paso, TX 79902",III,32,,
587,Lawnwood Regional Medical Center,1700 S 23rd St,"Fort Pierce, FL 34950",III,15,Private Practice,
588,Lawrence and Memorial Hospital,365 Montauk Ave,"New London, CT 06320",III,14,Academic Program,"James Pellegrini, MD"
589,Lawrence General Hospital,1 General St,"Lawrence, MA 01841",II,10,Academic Program,"Raja Senguttuvan, MD"
590,Lawrence Memorial Hospital,325 Maine St,"Lawrence, KS 66044",II,,Private Practice,
591,Layton Hospital,201 West Layton Parkway,"Layton, UT 84041",II,6,Employed Group,"Olive Konana, MD"
592,LDS Hospital,"8th Avenue, C Street","Salt Lake City, UT 84143",II,12,,"Peter Lindgren, MD"
593,Le Bonheur Children’s Hospital,848 Adams Avenue,"Memphis, TN 38103",IV,60,Academic Program,"Ajay Talati, MD"
594,Legacy Salmon Creek Medical Center,2211 NE 139th St,"Vancouver, WA 98686",III,15,Private Practice,"Bret Freitag, M.D"
595,Lehigh Valley Hospital – Cedar Crest,1200 South Cedar Crest Blvd,"Allentown, PA 18103-6202",IV,40,Employed Group,"Wendy Kowalski, MD"
596,Lehigh Valley Hospital – Pocono,206 E Brown St.,"East Stroudsburg, PA 18301",III,8,Employed Group,"Wendy Kowalski, MD"
597,Lehigh Valley Hospital–Muhlenberg,2545 Schoenersville Road,"Bethlehem, PA 18017",II,,Employed Group,"Wendy Kowalski, MD"
598,Lenox Hill Hospital,100 E 77th St,"New York, NY 10075",III,28,Academic Program,"Kim Williams, MD"
599,Levine Children’s Hospital,1000 Blythe Blvd,"Charlotte, NC 28203",IV,85,Hospital Employed,"David Fisher, MD"
600,Lexington Medical Center,2720 Sunset Blvd,"West Columbia, SC",II,20,Private Practice,
601,Liberty Hospital,2525 Glenn Hendren Dr,"Liberty, MO 64068",II,4,Academic Program,"Winston Manimitim, MD"
602,Lincoln Medical Center,234 E 149th St,"Bronx, NY 10451",III,20,Employed Group,"Ronald Bainbridge, MD"
603,Little Company of Mary Hospital,2800 95th St,"Evergreen Park, IL 60805",II,12,,
604,Littleton Adventist Hospital,7700 South Broadway,"Littleton, CO 80122",III,14,Private Practice,"Karen Zarlengo, MD"
605,Logan Regional Hospital,500 East 1400 North,"Logan, UT 84341",II,23,,
606,Loma Linda University Children’s Hospital,11234 Anderson St,"Loma Linda, CA 92354",IV,84,Academic Program,"Elba Simon-Fayard, MD"
607,Lone Peak Hospital,1925 S State St,"Draper, UT 84020",II,4,Private Practice,"Cameron Swinton, MD"
608,Long Island Jewish Forest Hills Hospital,102-01 66th Rd,"Forest Hills, NY 11375",II,10,Academic Program,
609,Longview Regional Medical Center,2901 N Fourth St,"Longview, TX 75605",III,21,Private Practice,"Telema Nga, MD"
610,Los Alamos Medical Center,3917 West Road,"Los Alamos, NM 87544",II,4,Private Practice,"Lynda Adrouche-Amrani, MD"
611,Los Robles Hospital & Medical Center,215 W Janss Rd,"Thousand Oaks, CA 91360",III,12,,
612,Lourdes Medical Center,1600 Haddon Avenue,"Camden, NJ 08103",II,,Employed Group,
613,Lovelace Women’s Hospital,4701 Montgomery Blvd NE,"Albuquerque, NM 87109",III,53,Private Practice,"Zuzana Novak, MD"
614,Lowell General Hospital,295 Varnum Ave,"Lowell, MA 01854",II,10,Academic Program,"Mario Cordova, MD"
615,Loyola University Medical Center,2160 S 1st Ave,"Maywood, IL 60153",III,50,Academic Program,"Marc Weiss, MD"
616,Lucile Packard Children’s Hospital,725 Welch Rd,"Palo Alto, CA 94304",IV,40,Academic Program,"Alexis Davis, MD"
617,Lurie Children’s Hospital of Chicago,225 E Chicago Ave,"Chicago, IL 60611",IV,60,Academic Program,"James Collins, MD"
618,Lutheran Hospital,7950 W Jefferson Blvd,"Fort Wayne, IN 46804",III,21,Private Practice,"Daniel Biehl, MD"
619,Lyndon Baines Johnson Hospital,5656 Kelley St,"Houston, TX 77026",III,13,Academic Program,"Sophia Tsaikiri, MD"
620,Madigan Army Medical Center,0948 Jackson Ave,"Tacoma, WA  98431",III,20,,"Jeanne Krick, MD"
621,Madison Hospital,8375 Hwy 72 W,"Madison, AL 35758",II,,Private Practice,"Meyer Dworsky, MD"
622,Madison Memorial Hosptial,450 E Main St,"Rexburg, ID 83440",II,14,Private Practice,
623,Maimonides Medical Center,4802 10th Ave,"Brooklyn, NY 11219",III,31,Academic Program,"Alok Bhutada, MD"
624,Maine General Health Center,35 Medical Center Pkwy,"Augusta, ME 04330",II,,,"Gabrielle Harpell, MD"
625,Maine Medical Center,22 Bramhall Street,"Portland, ME 04102",III,31,Network Medical Group,"Misty Melendi, MD"
626,Manatee Memorial Hospital,206 2nd St E,"Bradenton, FL 34208",II,6,Private Practice,
627,Manchester Memorial Hospital,71 Haynes St,"Manchester, CT 06040",II,,Academic Program,
628,Mansfield Methodist Memorial Hospital,2700 E Broad St,"Mansfield, TX 76063",II,8,Private Practice,"Ben Brann, MD"
629,Maple Grove Hospital,9875 Hospital Dr,"Maple Grove, MN 55369",III,12,Private Practice,"Jeanne Mrozek, MD"
630,Margaret Mary Community Hospital,"321 Mitchell Avenue,","Batesville, Indiana",II,,,
631,Marian Regional Medical Center,"1400 E Church St,","Santa Maria, CA 93454",III,21,Employed Group,
632,Maricopa Medical Center,2601 E. Roosevelt Street,"Phoenix, AZ 85008",III,40,Private Practice,"Mahesh Kotwal, MD"
633,Marin General Hospital,250 Bon Air Rd,"Kentfield, CA 94904",II,,,
634,Marion General Hospital,441 N. Wabash Ave.,"Marion, IN 46952",II,,Private Practice,
635,Marshfield Children’s Hospital,611 N Saint Joseph Avenue,"Marshfield, WI 54449",III,24,Hospital Employed,
636,Mary Immaculate Hopsital,2 Bernardine Dr,"Newport News, VA 23602",III,8,Private Practice,"Ann Heerens, MD"
637,Mary Washington Hospital,1001 Sam Perry Blvd,"Fredericksburg, VA 22401",III,17,Academic Program,"Josh Attridge, MD"
638,Massachusetts General Hospital,55 Fruit Street,"Boston, MA 02114",III,31,Academic Program,"Serguei Roumiantsev, MD"
639,Maury Regional Medical Center,1224 Trotwood Ave,"Columbia, TN 38401",II,8,Academic Program,Open Position
640,Mayo Clinic – Eau Claire Hospital,1221 Whipple St.,"Eau Claire, WI 54703",II,,,
641,Mayo Clinic – Franciscan Healthcare,700 West Ave. S.,"La Crosse, WI 54601",III,15,Employed Group,"Dennis Costakos, MD"
642,"Mayo Clinic Hospital, Methodist Campus",201 W Center St,"Rochester, MN 55902",II,,Academic Program,"Jane Brumbaugh, MD"
643,"Mayo Clinic, St. Mary’s Campus",1216 2nd St SW,"Rochester, MN 55902",IV,26,Academic Program,"Chris Colby, MD"
644,McKay-Dee Hospital,4401 Harrison Blvd,"Ogden, UT 84403, USA",III,32,Employed Group,"Mark Shffield, MD"
645,McLane Children’s Hospital at Baylor Scott & White Medical Center,"1901 SW H K Dodgen Loop,","Temple, TX 76502",IV,52,Academic Program,"Vinayak Govande, MD"
646,McLaren Macomb Hospital,1000 Harrington St,"Mount Clemens , MI 48043",II,15,Private Practice,
647,McLeod Regional Medical Center,555 E Cheves St,"Florence, SC 29506",III,52,Private Practice,Joseph Harlan MD
648,McNeal Hospital,3249 S Oak Park Ave,"Berwyn, IL 60402",II,,Academic Program,
649,Mease Countryside Hospital,3231 McMullen Booth Rd,"Safety Harbor, FL 34695",III,10,Private Practice,"Lance Wyble, MD"
650,Medical Center at Bowling Green,250 Park St,"Bowling Green, KY 42101",III,12,Private Practice,"Alex Soriano, MD"
651,Medical Center Hospital,500 West 4th St,"Odessa, TX 79761",III,30,Academic Program,"Robert Bennett, MD"
652,Medical Center of Aurora,1501 S Potomac Street,"Aurora, CO 80012",III,14,Private Practice,"Todd West, MD"
653,Medical Center of South Arkansas,700 W Grove St,"El Dorado, AR 71730",II,4,,
654,Medical Center of the Rockies,2500 Rocky Mountain Ave,"Loveland, CO 80538",II,,Academic Program,"Amy MacRitchie, MD"
655,Medical Center of Trinity,9330 FL-54,"Trinity, FL 34655",II,12,Academic Program,"Victor McKay, MD"
656,Medical City Alliance,3101 N Tarrant Pkwy,"Fort Worth, TX 76177",III,8,Private Practice,
657,Medical City Arlington,3301 Matlock Rd,"Arlington, TX 76015",III,36,Private Practice,
658,Medical City Dallas Hospital,7777 Forest Ln,"Dallas, TX 75230",IV,60,Academic Program,"Meridith Treen, MD"
659,Medical City Frisco,5500 Frisco Square Blvd,"Frisco, TX 75034",II,6,,
660,Medical City Las Colinas,6800 N MacArthur Blvd,"Irving, TX 75039",II,,,
661,Medical City Lewisville,500 W Main St,"Lewisville, TX 75057",III,16,Private Practice,
662,Medical City McKinney,4500 Medical Center Dr,"McKinney, TX 75069",II,,,
663,Medical City Plano,3901 W 15th St,"Plano, TX 75075",III,40,Private Practice,
664,Melrose-Wakefield Hospital,585 Lebanon St,"Melrose, MA 02176",II,10,Academic Program,"Karen Harvey-Wilkes, MD"
665,Memorial Health,4700 Waters Ave,"Savannah, GA 31404",III,82,Private Practice,"Bradley Buckler, MD"
666,Memorial Hermann – Cypress,27800 Northwest Freeway,"Cypress, TX 77433",II,8,,
667,Memorial Hermann – Greater Heights,1635 N Loop W,"Houston, TX 77008",II,12,Academic Program,
668,Memorial Hermann – Katy,23900 Katy Fwy,"Katy, TX 77494",III,9,Academic Program,"Rita Muthappa, MD"
669,Memorial Hermann – Memorial City Medical Center,921 Gessner Rd,"Houston, TX 77024",III,40,Academic Program,"Rita Muthappa, MD"
670,Memorial Hermann – Northeast,18951 N Memorial Dr,"Humble, TX 77338",III,10,Private Practice,
671,Memorial Hermann – Southeast,11800 Astoria Blvd,"Houston, TX 77089",III,14,Academic Program,
672,Memorial Hermann – Sugar Land,17500 W Grand Pkwy S,"Sugar Land, TX 77479",II,10,Private Practice,
673,Memorial Hermann – Texas Medical Center,6411 Fannin,"Houston, TX 77030",IV,118,Academic Program,"Amir Khan, MD"
674,Memorial Hermann – The Woodlands,9250 Pinecroft,"The Woodlands, TX 77380",III,26,Private Practice,"David Weisoly, DO"
675,Memorial Hermann Southwest Hospital,7600 Beechnut St,"Houston, TX 77074",III,40,Private Practice,"Edgar Romero, MD"
676,Memorial Hospital,615 N. Michigan Street,"South Bend, IN 46601",III,36,Private Practice,"Robert White, MD"
677,Memorial Hospital at Gulfport,4500 13th Street,"Gulfport, MS 39501",III,23,Academic Program,
678,Memorial Hospital Belleville,4500 Memorial Dr,"Belleville, IL 62226",II,,Academic Program,
679,Memorial Hospital East,1404 Cross St,"Shiloh, IL 62269",II,,Academic Program,
680,Memorial Hospital Miramar,1901 SW 172 Avenue,"Miramar, FL 33029",II,10,Private Practice,Heidi Handman
681,Memorial Hospital of Carbondale,405 W Jackson St.,"Carbondale, IL 62901",II,,Hospital Employed,
682,Memorial Hospital West,703 North Flamingo Road,"Pembroke Pines, FL 33028",II,16,Private Practice,
683,Memorial Medical Center,2450 S Telshor Blvd,"Las Crues, NM 88011",II,21,Private Practice,"Gregory Welch, MD"
684,Memorial Medical Center,1700 Coffee Rd,"Modesto, CA 95355",II,,,
685,Memorial Medical Center,701 North First Street,"Springfield, IL 62781",II,,Academic Program,
686,Memorial Regional Medical Center,8260 Atlee Rd,"Mechanicsville, VA 23116",III,9,Private Practice,"Ann Heerens, MD"
687,Memorial Satilla Health,1900 Tebeau St,"Waycross, GA 31501",II,,,
688,Menorah Medical Center,5721 W. 119th Street,"Overland Park, KS 66209",II,7,Private Practice,"Chris Stapley, DO"
689,Mercy Gilbert Medical Center,3555 S Val Vista Dr,"Gilbert, AZ 85297",II,12,Private Practice,"Anita Stola, MD"
690,Mercy Health Children’s Hospital,2213 Cherry St,"Toledo, OH 43608",III,30,Employed Group,
691,Mercy Health St. Elizabeth Boardman Hospital,8401 Market St,"Youngstown, OH 44512",III,25,Academic Program,"Barbara Clouser, MD"
692,Mercy Health St. Joseph Warren Hospital,667 Eastland Ave SE,"Warren, OH 44484",II,6,Academic Program,"Barbara Clouser, MD"
693,Mercy Health St. Mary’s,200 Jefferson Ave SE,"Grand Rapids, MI 49503",III,15,Network Medical Group,"Steve Gelfand, MD"
694,Mercy Health West Hospital,3300 Mercy Health Blvd,"Cincinnati, OH 45211",II,,Academic Program,
695,Mercy Hospital,3663 S Miami Ave,"Miami, FL 33133",II,8,Private Practice,
696,Mercy Hospital,4020 Coon Rapids Blvd NW,"Coon Rapids, MN 55433",II,16,Hospital Employed,"Mark Bergeron, MD"
697,Mercy Hospital & Medical Center,2525 Michigan Ave,"Chicago, IL 60616",II,,Academic Program,
698,Mercy Hospital Fort Smith,7301 Rogers Ave,"Fort Smith, AR 72903",III,25,Private Practice,
699,Mercy Hospital Joplin,100 Mercy Way,"Joplin, MO 64804",III,14,Employed Group,
700,Mercy Hospital Northwest Arkansas,2710 S Rife Medical Ln,"Rogers, AR 72758",III,10,Private Practice,
701,Mercy Hospital of Buffalo,565 Abbott Rd,"Buffalo, NY 14220",II,15,Private Practice,
702,Mercy Hospital Oklahoma City,4300 W Memorial Rd,"Oklahoma City, OK 73120",III,42,Private Practice,
703,Mercy Hospital South,10010 Kennerly Rd,"St. Louis, MO 63128",II,8,Private Practice,
704,Mercy Hospital Southwest,400 Old River Rd,"Bakersfield, CA 93311",II,18,,
705,Mercy Hospital Springfield,1235 E Cherokee St,"Springfield, MO 65804",III,46,Private Practice,"Kimberly Ernst, MD"
706,Mercy Hospital St. Louis,615 S. New Ballas Road,"St. Louis, MO 63141",III,98,Private Practice,"Gary Dreyer, MD"
707,Mercy Medical Center,2175 Rosaline Avenue,Redding CA 96001,II,8,Network Medical Group,"Craig Traugott, MD"
708,Mercy Medical Center,701 10th St SE,"Cedar Rapids, IA 52403",II,,Hospital Employed,Open Position
709,Mercy Medical Center,1000 N Village Ave,"Rockville Centre, NY 11570",III,15,,"Swarna Devarajan, MD"
710,Mercy Medical Center,"345 St Paul Pl,","Baltimore, MD 21202",III,15,Academic Program,"Susan Dulkerian, MD"
711,Mercy Medical Center,1320 Mercy Drive Northwest,"Canton, OH 44708",II,13,Private Practice,"Adeyemi Sobowale, MD"
712,Mercy San Juan Medical Center,6501 Coyle Ave,"Carmichael, CA 95608",III,26,,
713,MercyHealth – Javon Bea Hospital,8201 E Riverside Blvd,"Rockford, IL 61114",III,52,,
714,MercyOne Des Moines Medical Center,1111 6th Ave,"Des Moines, IA 50314",III,44,Employed Group,
715,MercyOne Dubuque Medical Center,250 Mercy Dr,"Dubuque, IA 52001",II,,Private Practice,"Karen Scott, MD"
716,MercyOne Waterloo Medical Center,3421 W 9th St,"Waterloo, IA 50702",II,16,Employed Group,
717,Merit Health Central,1850 Chadwick Dr,"Jackson, MS 39204",III,22,Private Practice,
718,Merit Health River Oaks,1030 River Oaks Dr,"Flowood, MS 39232",III,20,Private Practice,
719,Merit Health River Region,2100 US-61,"Vicksburg, MS 39183",II,10,,
720,Merit Health Wesley,5001 Hardy St,"Hattiesburg, MS 39402",III,14,Private Practice,"Jose Yuvienco, MD"
721,Merit Health Woman’s Hospital,1026 N Flowood Dr,"Flowood, MS 39232",III,15,Private Practice,
722,Meritus Medical Center,11116 Medical Campus Rd,"Hagerstown, MD 21742",II,,Private Practice,
723,Methodist Charlton Medical Center,3500 W Wheatland Rd,"Dallas, TX 75237",II,,,
724,Methodist Dallas Medical Center,1441 N Beckley Ave,"Dallas, TX 75203",III,50,Private Practice,
725,Methodist Hospital,1305 N Elm St,"Henderson, KY 42420",III,15,Private Practice,"Iyad Aljabi, MD"
726,Methodist Hospital,6500 Excelsior Blvd,"St. Louis Park, MN 55426",II,,,
727,Methodist Hospital Northlake,"600 Grant St,","Gary, IN 46402",III,11,Private Practice,
728,Methodist Hospital of Sacramento,7500 Hospital Dr,"Sacramento, CA 95823",II,12,,
729,Methodist Hospital of Southern California,300 Huntington Dr,"Arcadia, CA 91007",II,17,,
730,Methodist Hospital Southlake,"8701 Broadway,","Merrillville, IN 46410",III,20,Private Practice,
731,Methodist Le Bonheur Germantown Hospital,7691 Poplar Ave.,"Germantown, TN 38138",III,24,Private Practice,"Bruce Jenkins, MD"
732,Methodist Richardson Medical Center,2831 E President George Bush Hwy,"Richardson, TX 75082",III,,Private Practice,
733,Methodist South Hospital,1300 Wesley Dr.,"Memphis, TN 38116",II,,Private Practice,"Bruce Jenkins, MD"
734,Methodist Stone Oak Hospital,1139 E Sonterra Blvd,"San Antonio, TX 78258",III,9,,
735,Methodist Women’s Hospital,707 N. 190th Plaza,"Omaha, NE 68022",III,51,Private Practice,"David Minderman, MD"
736,MetroHealth,2500 MetroHealth Drive,"Cleveland, Ohio 44109",III,49,Academic Program,"Prabhu Parimi, MD"
737,Metropolitan Hospital Center,1901 1st Avenue,"New York, NY 10029",III,15,Academic Program,"Emad Ghaly, MD"
738,Metropolitan Methodist Hospital,1310 McCullough Ave,"San Antonio, TX 78212",III,40,,
739,MetroWest Medical Center,115 Lincoln St,"Framingham, MA 01702",II,12,Academic Program,"MaryAnn Volpe, MD"
740,Miami Valley Medical Center,1 Wyoming St,"Dayton, OH 45409",III,60,Private Practice,
741,Middlesex Hospital,28 Crescent St,"Middletown, CT 06457",II,,Academic Program,"Cliff Callahan, MD"
